speaker_id,true,pred,nativeness_score,gender,location
learner01,learner,learner,0.2000150176716014,M,indoor
learner02,learner,learner,2.3772569471871615e-05,M,indoor
learner03,learner,learner,2.3772569471871615e-05,M,indoor
learner04,learner,learner,0.012587916963615164,M,indoor
learner05,learner,learner,0.2000150176716014,F,indoor
learner06,learner,learner,0.20001501767160143,M,indoor
native01,native,native,0.599993737226269,M,cafe
native02,native,native,0.9999762274305282,M,cafe
native03,native,native,0.9999762274305282,F,cafe
native04,native,native,0.9999762274305282,F,cafe
native05,native,native,0.9359246982327317,F,cafe
native06,native,native,0.9026153794141694,M,indoor
