speaker_id,true,pred,nativeness_score,gender,location
learner01,learner,learner,0.252177364473435,M,indoor
learner02,learner,learner,0.1658766292901128,M,indoor
learner03,learner,learner,0.05154330639743147,M,indoor
learner04,learner,learner,0.05031481578060269,M,indoor
learner05,learner,learner,0.4644767000025845,F,indoor
learner06,learner,learner,0.039847499891114385,M,indoor
native01,native,learner,0.40169696586474474,M,cafe
native02,native,native,0.7756012939075931,M,cafe
native03,native,native,0.9928968089269288,F,cafe
native04,native,native,0.8711199901480946,F,cafe
native05,native,native,0.9104196984328425,F,cafe
native06,native,native,0.5166645590440119,M,indoor
