speaker_id,true,pred,nativeness_score,gender,location
learner01,learner,learner,0.4255,M,indoor
learner02,learner,learner,0.28540157176157177,M,indoor
learner03,learner,learner,0.21248376068376068,M,indoor
learner04,learner,learner,0.21993518518518523,M,indoor
learner05,learner,learner,0.3741333333333333,F,indoor
learner06,learner,learner,0.16755555555555554,M,indoor
native01,native,learner,0.4497777777777777,M,cafe
native02,native,native,0.7946603174603174,M,cafe
native03,native,native,0.8112173015873017,F,cafe
native04,native,native,0.7724496109554935,F,cafe
native05,native,native,0.813498148148148,F,cafe
native06,native,native,0.61625,M,indoor
